attribute,count,average importance,variance of importance
brand,209,0.4129186602870808,0.08521588333600422
model,149,0.5416107382550338,0.11615445250213954
product type,84,0.7035714285714287,0.05683248299319727
color,51,0.060784313725490195,0.021305267204921187
type,46,0.48586956521739133,0.11365902646502837
capacity,45,0.2577777777777777,0.052106172839506165
interface,31,0.21290322580645155,0.04709157127991674
speed,23,0.5260869565217392,0.08627599243856333
size,23,0.39999999999999997,0.07739130434782608
description,19,0.19473684210526315,0.052077562326869796
compatibility,19,0.40526315789473677,0.07497229916897508
form factor,17,0.25882352941176473,0.07624567474048441
quantity,16,0.36875,0.1218359375
storage capacity,12,0.2333333333333333,0.03180555555555556
page count,11,0.11818181818181818,0.034214876033057846
read speed,11,0.17272727272727276,0.05925619834710742
film type,10,0.45500000000000007,0.041725
frequency,10,0.135,0.024524999999999998
write speed,9,0.20000000000000004,0.06777777777777778
technology,9,0.26666666666666666,0.07388888888888889
number of ports,8,0.46875,0.09871093749999998
additional features,7,0.23571428571428574,0.08193877551020409
casing,6,0.45,0.075
data transfer rate,5,0.23000000000000004,0.0526
number of shots,5,0.48999999999999994,0.1424
compatible devices,5,0.18,0.04559999999999999
part code,5,0.11000000000000001,0.038400000000000004
Brand,5,0.11000000000000001,0.0104
warranty,4,0.037500000000000006,0.0017187500000000002
compound,4,0.38750000000000007,0.09796875
warranty period,4,0.1,0.00875
Antenna,4,0.30000000000000004,0.06375
compatible camera model,4,0.6749999999999999,0.080625
PoE standard,4,0.05,0.0025000000000000005
origin,4,0.1,0.015
Chipset,4,0.325,0.080625
number of sheets,4,0.375,0.138125
Speed,4,0.26249999999999996,0.07171875
wireless speed,4,0.39999999999999997,0.14375
Type,4,0.6,0.16
material,3,0.3666666666666667,0.035555555555555556
frame color,3,0.26666666666666666,0.008888888888888889
noise cancelling,3,0.7000000000000001,0.026666666666666672
use,3,0.6166666666666667,0.1438888888888889
function,3,0.39999999999999997,0.08666666666666666
intended use,3,0.5,0.16666666666666666
tread design,3,0.3833333333333333,0.05722222222222223
wideband,3,0.5,0.0
compatible device,3,0.5,0.0
Size,3,0.16666666666666666,0.008888888888888889
pack size,3,0.65,0.044999999999999984
dimensions,3,0.11666666666666665,0.017222222222222222
pack type,3,0.6,0.01999999999999999
Model,3,0.13333333333333333,0.015555555555555557
feature,3,0.4666666666666666,0.10888888888888888
paper type,2,0.2,0.009999999999999998
suitability for media,2,0.25,0.0625
storage capability,2,0.25,0.0625
Title,2,0.2,0.009999999999999998
quick disconnect,2,0.5,0.0
band,2,0.375,0.105625
resolution,2,0.4,0.010000000000000002
AC Passthrough,2,0.075,0.005625
usage,2,0.6,0.009999999999999995
print capacity,2,0.6,0.0
limited edition,2,0.0,0.0
data rate,2,0.25,0.0625
frequency band,2,0.625,0.0006250000000000011
maximum speed,2,0.85,0.0
Interface,2,0.5,0.039999999999999994
read/write speed,2,0.15000000000000002,0.0025000000000000005
display size,2,0.2,0.009999999999999998
storage type,2,0.2,0.0
compatible model,2,0.45,0.0024999999999999988
folding,2,0.025,0.0006250000000000001
antenna type,2,0.4,0.1225
volume,2,0.2,0.009999999999999998
packaging,2,0.5,0.039999999999999994
special features,2,0.25,0.0625
package content,2,0.55,0.0024999999999999988
type of ports,2,0.825,0.0056250000000000015
ports,2,0.575,0.0056250000000000015
tubeless,2,0.275,0.050625
page yield,2,0.2,0.04000000000000001
antenna,2,0.4,0.010000000000000002
finish,1,0.25,0.0
grain quality,1,0.25,0.0
case material,1,0.1,0.0
wireless speed at 5GHz,1,0.7,0.0
ISO,1,0.25,0.0
compatible app,1,0.25,0.0
USB version,1,0.05,0.0
tread,1,0.5,0.0
suitability for water-based paints,1,0.0,0.0
wireless speed at 2.4GHz,1,0.7,0.0
case,1,0.1,0.0
reference number,1,0.1,0.0
clock speed,1,0.1,0.0
number of cores/sheets,1,0.1,0.0
format,1,0.25,0.0
advanced switching technology,1,0.05,0.0
82 mic,1,0.5,0.0
image formation,1,0.25,0.0
chipset,1,0.3,0.0
number of shots/exposures,1,0.1,0.0
model number,1,0.5,0.0
interface/OS,1,0.6,0.0
connectivity,1,0.0,0.0
resistance to age-induced changes,1,0.25,0.0
PoE ports,1,0.2,0.0
weight,1,0.25,0.0
QD,1,0.5,0.0
printing/scanning/copying/faxing,1,0.0,0.0
capacity/surface,1,0.7,0.0
speed/efficiency,1,0.7,0.0
Support for WPS,1,0.3,0.0
optical zoom,1,0.5,0.0
Ethernet ports,1,0.5,0.0
uplink ports,1,0.5,0.0
color/model,1,0.25,0.0
peak read/write speeds,1,0.1,0.0
Type of Paper,1,0.7,0.0
Suitability,1,0.2,0.0
Standards,1,0.15,0.0
plug,1,0.25,0.0
Type of Adapter,1,1.0,0.0
number of shots/sheets,1,0.05,0.0
uplink port,1,0.2,0.0
wireless networking,1,0.2,0.0
WiFi Standard,1,0.0,0.0
freespin,1,0.5,0.0
Supported Networks,1,0.6,0.0
microphone,1,0.5,0.0
Supported Operating Systems,1,0.5,0.0
WPS Support,1,0.2,0.0
duplex printing,1,0.2,0.0
grain structure,1,0.0,0.0
weatherproof,1,0.5,0.0
PoE adapter included,1,0.5,0.0
speed/capacity,1,0.0,0.0
package type,1,0.25,0.0
TPI,1,0.15,0.0
color/border,1,0.3,0.0
border,1,0.3,0.0
capacity/speed,1,0.8,0.0
design,1,0.1,0.0
earpiece type,1,0.7,0.0
connection type,1,0.7,0.0
microphone count,1,0.5,0.0
frame,1,0.2,0.0
color reproduction,1,0.0,0.0
product quantity,1,0.1,0.0
uplink speed,1,0.0,0.0
radiator surface area,1,0.0,0.0
part code / model number,1,0.0,0.0
RPM Class,1,0.0,0.0
Cache,1,0.0,0.0
Warranty,1,0.0,0.0
data transmission speed,1,0.85,0.0
number of antennas,1,0.65,0.0
tubeless ready,1,0.0,0.0
nand flash,1,0.0,0.0
MTBF,1,0.0,0.0
NVMe support,1,0.0,0.0
parity,1,0.0,0.0
input/output,1,0.5,0.0
interface port,1,0.5,0.0
rack height,1,0.5,0.0
color effect,1,0.3,0.0
part number,1,0.0,0.0
lighting,1,0.0,0.0
page quality,1,0.7,0.0
target audience,1,0.3,0.0
type of paper,1,0.4,0.0
standard,1,0.4,0.0
