attribute,count,average importance,variance of importance
brand,203,0.3953201970443347,0.0849904147152321
model,122,0.6483606557377057,0.09938255845202901
product type,93,0.8456989247311829,0.048906231934327665
color,45,0.08444444444444449,0.010091358024691357
type,38,0.6842105263157896,0.10369806094182826
capacity,30,0.3533333333333333,0.08532222222222223
description,28,0.1482142857142857,0.0606218112244898
speed,24,0.5041666666666668,0.09894097222222221
storage capacity,23,0.4021739130434783,0.10858223062381853
size,21,0.40952380952380957,0.07848072562358276
interface,20,0.29500000000000004,0.071475
compatibility,15,0.38999999999999996,0.09473333333333332
frequency,12,0.3125,0.12546875
quantity,11,0.24545454545454548,0.07702479338842975
film type,9,0.6499999999999999,0.0733333333333333
read speed,8,0.30625,0.0852734375
technology,7,0.3,0.09071428571428572
warranty,7,0.10714285714285714,0.013163265306122449
number of shots,7,0.6071428571428571,0.09173469387755102
write speed,7,0.33571428571428574,0.09051020408163266
compatible devices,7,0.40714285714285714,0.03744897959183673
page count,7,0.15,0.007857142857142858
part code,5,0.02,0.0016
number of sheets,5,0.51,0.0914
warranty period,5,0.16,0.0344
casing,5,0.53,0.06760000000000001
cache,5,0.21000000000000002,0.0364
number of ports,5,0.76,0.0314
title,5,0.4,0.008000000000000002
Type,4,1.0,0.0
antenna,4,0.25,0.0425
data rate,4,0.3875,0.10296875
rpm,4,0.3125,0.012968749999999998
use,4,0.3,0.045000000000000005
origin,4,0.15,0.007499999999999999
data transfer rate,4,0.1625,0.039218750000000004
form factor,4,0.2125,0.08046874999999998
compound,4,0.4875,0.07546875000000001
material,4,0.45,0.007500000000000001
pack size,4,0.15000000000000002,0.0025000000000000005
Chipset,3,0.3666666666666667,0.03555555555555556
number of exposures,3,0.10000000000000002,0.006666666666666668
compatible camera model,3,0.8833333333333333,0.0005555555555555566
usage,3,0.3,0.08666666666666667
Speed,3,0.6333333333333333,0.008888888888888885
ports,3,0.6333333333333333,0.0005555555555555566
Antenna,3,0.3,0.04666666666666666
Brand,3,0.35000000000000003,0.045000000000000005
wireless speed,3,0.8833333333333334,0.00722222222222222
read/write speed,3,0.06666666666666667,0.0022222222222222222
additional features,3,0.3666666666666667,0.06888888888888889
model number,2,0.55,0.0024999999999999988
Size,2,0.1,0.0
Interface,2,0.3,0.04
Ethernet ports,2,0.25,0.0625
print capacity,2,0.55,0.0024999999999999988
USB version,2,0.05,0.0
ethernet,2,0.55,0.0024999999999999988
VPN support,2,0.45,0.0024999999999999988
connection type,2,0.25,0.0625
resolution,2,0.25,0.0625
film size,2,0.2,0.009999999999999998
Model,2,0.725,0.05062499999999999
paper type,2,0.85,0.022500000000000006
product code,2,0.3,0.04
tire size,2,0.7749999999999999,0.0056250000000000015
product function,2,0.75,0.0625
frequency band,2,0.7,0.0
feature,2,0.275,0.050625
design,2,0.4,0.010000000000000002
PoE standard,2,0.025,0.0006250000000000001
volume,2,0.25,0.0625
number of items in package,2,0.15000000000000002,0.0025000000000000005
band,2,0.6,0.009999999999999995
standard,2,0.275,0.050625
tubeless ready,2,0.5,0.0
antenna type,2,0.35000000000000003,0.09000000000000001
additional feature,1,0.6,0.0
compatible models,1,0.1,0.0
page yield,1,0.2,0.0
WPS Support,1,0.1,0.0
support for WPS,1,0.1,0.0
Wireless Capability,1,0.1,0.0
Supported Systems,1,0.1,0.0
operating system support,1,0.1,0.0
number of PoE ports,1,0.45,0.0
network port,1,0.6,0.0
case,1,0.15,0.0
number of uplink ports,1,0.45,0.0
exposures,1,0.1,0.0
border color,1,0.1,0.0
recovery service plan,1,0.1,0.0
buffer,1,0.2,0.0
mounting,1,0.5,0.0
case material,1,0.1,0.0
interface/OS,1,0.8,0.0
chipset,1,0.5,0.0
capacity/speed,1,0.0,0.0
quality,1,0.6,0.0
broadband port,1,0.6,0.0
SFP,1,0.3,0.0
