attribute,count,average importance,variance of importance
brand,184,0.3703804347826085,0.06576670309546313
model,130,0.5403846153846158,0.08892677514792899
product type,76,0.6980263157894736,0.06937110457063711
color,43,0.09069767441860467,0.029448350459707947
capacity,41,0.2317073170731707,0.03387269482450923
type,34,0.3941176470588234,0.11511245674740485
interface,26,0.1692307692307692,0.027707100591715973
size,22,0.2113636363636363,0.039075413223140495
speed,21,0.3476190476190476,0.089875283446712
compatibility,20,0.265,0.078025
description,20,0.13,0.040100000000000004
form factor,17,0.20588235294117646,0.05673010380622838
storage capacity,15,0.31,0.06906666666666667
technology,11,0.2863636363636364,0.0777685950413223
quantity,10,0.30000000000000004,0.0855
read speed,10,0.27999999999999997,0.07609999999999999
write speed,9,0.2777777777777778,0.08450617283950618
additional features,9,0.2444444444444444,0.04858024691358025
number of ports,7,0.35000000000000003,0.09428571428571428
warranty,7,0.2,0.022142857142857148
frequency,7,0.15714285714285717,0.04816326530612246
data transfer rate,7,0.2928571428571428,0.091734693877551
number of shots,6,0.375,0.12979166666666667
frequency band,5,0.57,0.0706
usage,5,0.5700000000000001,0.009600000000000001
warranty period,5,0.06000000000000001,0.006400000000000001
Brand,5,0.5199999999999999,0.0736
Product Type,5,0.9,0.04
read/write speed,4,0.2375,0.024218749999999997
function,4,0.625,0.141875
PoE standard,4,0.35,0.06749999999999999
color reproduction,4,0.1875,0.006718750000000001
film type,4,0.32499999999999996,0.011875
page count,4,0.2625,0.02671875
compatible devices,4,0.4,0.055
compatible camera model,4,0.6,0.10625
Type,4,0.775,0.061875
connection type,4,0.4,0.125
Antenna,3,0.26666666666666666,0.05555555555555556
origin,3,0.10000000000000002,0.006666666666666668
use,3,0.5,0.14
USB version,3,0.5666666666666668,0.0022222222222222214
antenna,3,0.2333333333333333,0.008888888888888887
Chipset,3,0.26666666666666666,0.02888888888888889
antenna type,3,0.6333333333333333,0.0005555555555555566
part code,3,0.15,0.005
Size,3,0.13333333333333333,0.0022222222222222222
design,3,0.18333333333333335,0.00722222222222222
dimensions,3,0.09999999999999999,0.02
data rate,3,0.03333333333333333,0.002222222222222223
series,3,0.18333333333333335,0.0038888888888888883
model number,3,0.10000000000000002,1.925929944387236e-34
Page Count,3,0.18333333333333335,0.050555555555555555
material,3,0.25,0.061666666666666654
feature,3,0.25,0.041666666666666664
casing,3,0.31666666666666665,0.0772222222222222
resistance to age-induced changes,2,0.025,0.0006250000000000001
edition,2,0.4,0.010000000000000002
volume,2,0.15000000000000002,0.0025000000000000005
Page Type,2,0.44999999999999996,0.0225
grain structure,2,0.175,0.005625
Paper Type,2,0.6000000000000001,0.04000000000000001
ISO,2,0.025,0.0006250000000000001
pack type,2,0.65,0.022500000000000006
quality,2,0.25,0.0625
number of exposures/shots,2,0.25,0.022500000000000003
Speed,2,0.44999999999999996,0.062499999999999986
grain quality,2,0.025,0.0006250000000000001
wireless standard,2,0.175,0.0006250000000000003
tire type,2,0.45,0.09000000000000001
package content,2,0.35,0.12249999999999998
delivery,2,0.07500000000000001,0.0006250000000000001
number of sheets,2,0.6000000000000001,0.04000000000000001
finish,2,0.025,0.0006250000000000001
product_type,2,0.45,0.0024999999999999988
page type,2,0.55,0.022499999999999992
Suitability for Water-Based Paints,1,0.1,0.0
Supported Standards,1,0.6,0.0
Supported Operating Systems,1,0.3,0.0
Wireless Speed,1,0.2,0.0
WPS Support,1,0.1,0.0
number of gigabit combo ports,1,0.7,0.0
page details,1,0.4,0.0
image quality,1,0.1,0.0
performance description,1,0.3,0.0
weatherproof,1,0.1,0.0
device type,1,0.95,0.0
PoE adapter included,1,0.1,0.0
tire size,1,0.85,0.0
WiFi Standard,1,0.1,0.0
compound,1,0.7,0.0
side knobs,1,0.65,0.0
features,1,0.0,0.0
center tread,1,0.65,0.0
Interface,1,0.7,0.0
line interval,1,0.1,0.0
connector type,1,0.7,0.0
case type,1,0.0,0.0
number of PoE ports,1,0.7,0.0
image formation speed,1,0.05,0.0
product line,1,0.8,0.0
disposal ease,1,0.05,0.0
band,1,0.7,0.0
technical specifications,1,0.8,0.0
format,1,0.8,0.0
wireless capability,1,0.0,0.0
condition,1,0.3,0.0
wireless speed at 2.4GHz,1,0.7,0.0
wireless speed at 5GHz,1,0.7,0.0
USB port,1,0.5,0.0
composition,1,0.0,0.0
compatible device,1,0.1,0.0
image formation,1,0.0,0.0
print capacity,1,0.5,0.0
sipes,1,0.65,0.0
class,1,0.0,0.0
noise cancellation,1,0.6,0.0
Use,1,0.0,0.0
maximum speed,1,0.35,0.0
